year,code,amount,name,topname,depname,depcat,cat,ref
2007,3202010401,12040000,國家發展研究及諮詢,總統府主管,總統府,研究發展,國務支出,2.1.4.1
2007,3202019002,175300000,營建工程,總統府主管,總統府,一般建築及設備,國務支出,2.1.8.1
2007,3202019011,9620000,交通及運輸設備,總統府主管,總統府,一般建築及設備,國務支出,2.1.8.2
2007,3202109011,2500000,交通及運輸設備,總統府主管,國家安全會議,一般建築及設備,國務支出,2.2.5.1
2007,3202109019,3997000,其他設備,總統府主管,國家安全會議,一般建築及設備,國務支出,2.2.5.2
2007,5302301001,17648000,史料採集,總統府主管,國史館及所屬,史料採集與典藏,文化支出,2.3.4.1
2007,5302301002,6476000,史料整編典藏閱覽,總統府主管,國史館及所屬,史料採集與典藏,文化支出,2.3.4.2
2007,5302309011,1820000,交通及運輸設備,總統府主管,國史館及所屬,一般建築及設備,文化支出,2.3.7.1
2007,5202401020,689311000,學術審議及研究獎助,總統府主管,中央研究院,一般學術研究及評議,科學支出,2.4.2.1
2007,5202401023,1343603000,主題研究與人才培育,總統府主管,中央研究院,一般學術研究及評議,科學支出,2.4.2.2
2007,5202402010,2196961000,數理科學研究,總統府主管,中央研究院,自然及人文社會科學研究,科學支出,2.4.3.1
2007,5202402020,3032070000,生命科學研究,總統府主管,中央研究院,自然及人文社會科學研究,科學支出,2.4.3.2
2007,5202402030,1523259000,人文及社會科學研究,總統府主管,中央研究院,自然及人文社會科學研究,科學支出,2.4.3.3
2007,5202409001,273817000,土地購置,總統府主管,中央研究院,一般建築及設備,科學支出,2.4.4.1
2007,5202409002,591000000,營建工程,總統府主管,中央研究院,一般建築及設備,科學支出,2.4.4.2
2007,5202409011,5188000,交通及運輸設備,總統府主管,中央研究院,一般建築及設備,科學支出,2.4.4.3
2007,3303010701,4944000,政策審議議事,行政院主管,行政院,施政業務,行政支出,3.1.2.1
2007,3303010702,2222000,國會聯絡,行政院主管,行政院,施政業務,行政支出,3.1.2.2
2007,3303019002,8617000,營建工程,行政院主管,行政院,一般建築及設備,行政支出,3.1.9.1
2007,3303019011,3085000,交通及運輸設備,行政院主管,行政院,一般建築及設備,行政支出,3.1.9.2
2007,3303019019,33463000,其他設備,行政院主管,行政院,一般建築及設備,行政支出,3.1.9.3
2007,3303101020,5837000,中央總預算核編及執行,行政院主管,主計處,公務機關歲計會計業務,行政支出,3.2.2.1
2007,3303101021,7781000,中央總會計事務處理及總決算核編,行政院主管,主計處,公務機關歲計會計業務,行政支出,3.2.2.2
2007,3303101120,3550000,特種基金預算核編及執行,行政院主管,主計處,特種基金歲計會計業務,行政支出,3.2.3.1
2007,3303101121,1214000,特種基金會計事務處理及決算核編,行政院主管,主計處,特種基金歲計會計業務,行政支出,3.2.3.2
2007,3303101231,4005000,統計行政與統計標準,行政院主管,主計處,統計業務,行政支出,3.2.4.1
2007,3303101232,36738000,辦理綜合統計,行政院主管,主計處,統計業務,行政支出,3.2.4.2
2007,3303101320,168429000,基本國勢調查,行政院主管,主計處,普查及抽樣調查業務,行政支出,3.2.5.1
2007,3303101321,49287000,專案抽樣調查,行政院主管,主計處,普查及抽樣調查業務,行政支出,3.2.5.2
2007,3303101322,14768000,基層統計調查網管理,行政院主管,主計處,普查及抽樣調查業務,行政支出,3.2.5.3
2007,3303109011,324000,交通及運輸設備,行政院主管,主計處,一般建築及設備,行政支出,3.2.7.1
2007,3303109019,8054000,其他設備,行政院主管,主計處,一般建築及設備,行政支出,3.2.7.2
2007,3303119011,20000,交通及運輸設備,行政院主管,主計處電子處理資料中心,一般建築及設備,行政支出,3.3.7.1
2007,3303119019,28577000,其他設備,行政院主管,主計處電子處理資料中心,一般建築及設備,行政支出,3.3.7.2
2007,3903201120,104409000,國際新聞規劃及研究,行政院主管,新聞局,國際新聞業務,外交支出,3.4.1.1
2007,3903201121,96171000,國情資料編印供應,行政院主管,新聞局,國際新聞業務,外交支出,3.4.1.2
2007,3903201122,38173000,新聞影片及圖片攝製,行政院主管,新聞局,國際新聞業務,外交支出,3.4.1.3
2007,3903201123,22000000,國際新聞人士邀訪接待,行政院主管,新聞局,國際新聞業務,外交支出,3.4.1.4
2007,5303201025,4718000,新聞發布與新聞聯繫工作,行政院主管,新聞局,國內新聞業務,文化支出,3.4.3.1
2007,5303201026,37082000,辦理法令政策溝通宣導,行政院主管,新聞局,國內新聞業務,文化支出,3.4.3.2
2007,5303201220,373793000,廣播電視事業輔導,行政院主管,新聞局,大眾傳播事業輔導,文化支出,3.4.4.1
2007,5303201221,561806000,電影事業輔導,行政院主管,新聞局,大眾傳播事業輔導,文化支出,3.4.4.2
2007,5303201222,116117000,出版事業輔導,行政院主管,新聞局,大眾傳播事業輔導,文化支出,3.4.4.3
2007,5303209011,900000,交通及運輸設備,行政院主管,新聞局,一般建築及設備,文化支出,3.4.10.1
2007,5303209019,3500000,其他設備,行政院主管,新聞局,一般建築及設備,文化支出,3.4.10.2
2007,3303302120,14546000,人事行政電子化政府,行政院主管,人事行政局,人事業務之策進執行及人員之考訓,行政支出,3.5.2.1
2007,3303302121,8019000,人事綜合規劃,行政院主管,人事行政局,人事業務之策進執行及人員之考訓,行政支出,3.5.2.2
2007,3303302122,1569000,給與制度規劃,行政院主管,人事行政局,人事業務之策進執行及人員之考訓,行政支出,3.5.2.3
2007,3303302125,6099000,加強公務人力運用,行政院主管,人事行政局,人事業務之策進執行及人員之考訓,行政支出,3.5.2.4
