year,code,amount,name,topname,depname,depcat,cat,ref
2010,3202010100,898545000,無細項,總統府主管,總統府,一般行政,國務支出,1.1.1
2010,3202010200,40000000,無細項,總統府主管,總統府,國務機要,國務支出,1.1.2
2010,3202010300,35025000,無細項,總統府主管,總統府,國家慶典,國務支出,1.1.3
2010,3202010400,11736000,國家發展研究及諮詢,總統府主管,總統府,研究發展,國務支出,1.1.4.1
2010,3202010500,16885000,無細項,總統府主管,總統府,新聞發布,國務支出,1.1.5
2010,3202010600,30801000,無細項,總統府主管,總統府,卸任禮遇,國務支出,1.1.6
2010,3202010800,9090000,無細項,總統府主管,總統府,公報編印及印信勳章鑄造,國務支出,1.1.7
2010,3202019000,0,營建工程,總統府主管,總統府,一般建築及設備,國務支出,1.1.8.1
2010,3202019800,2182000,無細項,總統府主管,總統府,第一預備金,國務支出,1.1.9
2010,3202100100,171268000,無細項,總統府主管,國家安全會議,一般行政,國務支出,1.2.1
2010,3202101000,2040000,無細項,總統府主管,國家安全會議,策進國家安全議事業務,國務支出,1.2.2
2010,3202102000,8559000,無細項,總統府主管,國家安全會議,策進國家安全諮詢研究業務,國務支出,1.2.3
2010,3202105000,12941000,無細項,總統府主管,國家安全會議,策進國際安全合作研究業務,國務支出,1.2.4
2010,3202109000,4201000,營建工程,總統府主管,國家安全會議,一般建築及設備,國務支出,1.2.5.1
2010,3202109800,234000,無細項,總統府主管,國家安全會議,第一預備金,國務支出,1.2.6
2010,5202303000,15755000,無細項,總統府主管,國史館,總統文物與珍貴史料數位化,科學支出,1.3.1
2010,5302300100,194627000,無細項,總統府主管,國史館,一般行政,文化支出,1.3.2
2010,5302301000,14317000,史料採集,總統府主管,國史館,史料採集與典藏,文化支出,1.3.3.1
2010,5302302000,9529000,無細項,總統府主管,國史館,國史編纂,文化支出,1.3.4
2010,5302309800,340000,無細項,總統府主管,國史館,第一預備金,文化支出,1.3.5
2010,5202315000,8949000,無細項,總統府主管,國史館臺灣文獻館,拓展數位化計畫,科學支出,1.4.1
2010,5302313000,91830000,無細項,總統府主管,國史館臺灣文獻館,一般行政,文化支出,1.4.2
2010,5302314000,9119000,採集文獻暨文物大樓營運,總統府主管,國史館臺灣文獻館,文獻業務,文化支出,1.4.3.1
2010,5202400100,483873000,無細項,總統府主管,中央研究院,一般行政,科學支出,1.5.1
2010,5202401000,575003000,學術審議及研究獎助,總統府主管,中央研究院,一般學術研究及評議,科學支出,1.5.2.1
2010,5202402000,2724729000,數理科學研究,總統府主管,中央研究院,自然及人文社會科學研究,科學支出,1.5.3.1
2010,5202409000,1554533000,營建工程,總統府主管,中央研究院,一般建築及設備,科學支出,1.5.4.1
2010,5202409800,5410000,無細項,總統府主管,中央研究院,第一預備金,科學支出,1.5.5
2010,3303010100,558052000,無細項,行政院主管,行政院,一般行政,行政支出,2.1.1
2010,3303010700,5429000,政策審議議事,行政院主管,行政院,施政業務,行政支出,2.1.2.1
